dimensions,budget,algorithm,rank,ngopt rank,algo ID,in data,points test,rank test
3,1000,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,368,2
3,1000,MetaModel,3,3,3,True,326,4
3,1000,ChainMetaModelPowell,3,3,1,True,194,5
3,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5,True,386,4
3,1500,ConfPortfolio_scale2_NA_ngopt14s_1,1,1,38,True,423,1
3,1500,CMA,1,-1,0,True,423,1
3,1500,MetaModel,3,3,3,True,413,3
3,1500,ChainMetaModelPowell,3,3,1,True,240,5
3,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,7,0,36,True,418,4
3,2000,ChainMetaModelPowell,1,1,1,True,372,5
3,2000,MetaModel,1,-1,3,True,499,1
3,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,491,2
3,2000,CMA,3,3,0,True,491,2
3,2500,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,8,0,35,True,527,1
3,2500,ChainMetaModelPowell,1,1,1,True,416,5
3,2500,MetaModel,1,-1,3,True,516,4
3,2500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,519,2
3,2500,CMA,3,3,0,True,519,2
3,3000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,9,0,34,True,457,3
3,3000,MetaModel,1,1,3,True,491,1
3,3000,ChainMetaModelPowell,1,-1,1,True,406,4
3,3000,CMA,3,3,0,True,472,2
3,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5,True,345,5
3,3500,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,8,0,34,True,528,4
3,3500,MetaModel,1,-1,3,True,566,1
3,3500,ChainMetaModelPowell,1,1,1,True,469,5
3,3500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,544,2
3,3500,CMA,3,3,0,True,544,2
3,4000,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,12,0,33,True,564,2
3,4000,MetaModel,1,-1,3,True,572,1
3,4000,ChainMetaModelPowell,1,1,1,True,488,5
3,4000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,548,3
3,4000,CMA,3,3,0,True,548,3
3,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,16,0,32,True,555,2
3,4500,MetaModel,1,-1,3,True,576,1
3,4500,ChainMetaModelPowell,1,1,1,True,496,5
3,4500,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38,True,541,3
3,4500,CMA,3,3,0,True,541,3
3,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,13,0,32,True,512,3
3,5000,MetaModel,1,1,3,True,547,1
3,5000,ChainMetaModelPowell,1,-1,1,True,466,4
3,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5,True,350,5
3,5000,CMA,4,4,0,True,521,2
3,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,12,0,30,True,513,3
3,6000,ChainMetaModelPowell,1,-1,1,True,492,4
3,6000,MetaModel,2,2,3,True,568,1
3,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5,True,344,5
3,6000,CMA,4,4,0,True,542,2
3,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,19,0,29,True,553,3
3,7000,ChainMetaModelPowell,1,-1,1,True,521,4
3,7000,MetaModel,2,2,3,True,574,1
3,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,3,3,25,True,570,2
3,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,4,4,21,True,502,5
3,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,22,0,28,True,554,3
3,8000,ChainMetaModelPowell,1,-1,1,True,539,4
3,8000,MetaModel,2,2,3,True,599,1
3,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,3,3,25,True,591,2
3,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,4,4,21,False,0,5
3,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,25,0,26,True,597,2
3,9000,ChainMetaModelPowell,1,-1,1,True,557,4
3,9000,MetaModel,2,2,3,True,608,1
3,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,3,3,25,True,582,3
3,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,4,4,22,False,0,5
3,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,1,0,25,True,637,1
3,10000,MetaModel,2,2,3,True,631,2
3,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,3,3,22,False,0,4
3,10000,ChainMetaModelPowell,4,4,1,True,572,3
3,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,5,5,21,False,0,4
5,200,Cobyla,3,0,2,True,167,3
5,200,MetaModelOnePlusOne,1,-1,4,True,268,2
5,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),2,2,5,True,319,1
5,200,ChainMetaModelPowell,4,4,1,True,61,5
5,200,MetaModel,4,4,3,True,77,4
5,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,339,1
5,300,MetaModelOnePlusOne,2,2,4,True,182,2
5,300,Cobyla,3,3,2,True,134,3
5,300,MetaModel,4,4,3,True,133,4
5,300,ChainMetaModelPowell,4,4,1,True,119,5
5,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,346,1
