dimensions,budget,algorithm,rank,ngopt rank,algo ID
45,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
60,9000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
20,300,MetaModelOnePlusOne,3,3,4
70,9000,Cobyla,3,3,2
80,9000,Cobyla,3,3,2
100,10000,Cobyla,3,3,2
2,200,ChainMetaModelPowell,3,3,1
90,10000,Cobyla,3,3,2
3,200,ChainMetaModelPowell,3,3,1
3,200,MetaModel,3,3,3
80,10000,Cobyla,3,3,2
70,10000,Cobyla,3,3,2
60,10000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
10,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
50,10000,CMA,3,3,0
50,10000,MetaModel,3,3,3
15,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
20,200,MetaModelOnePlusOne,3,3,4
30,10000,CMA,3,3,0
25,10000,MetaModel,3,3,3
25,200,MetaModelOnePlusOne,3,3,4
15,10000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
30,200,MetaModelOnePlusOne,3,3,4
35,200,MetaModelOnePlusOne,3,3,4
3,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,3,3,22
2,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,3,19
100,9000,Cobyla,3,3,2
40,200,MetaModelOnePlusOne,3,3,4
90,9000,Cobyla,3,3,2
45,200,MetaModelOnePlusOne,3,3,4
50,200,MetaModelOnePlusOne,3,3,4
35,500,MetaModelOnePlusOne,3,3,4
40,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
25,300,MetaModelOnePlusOne,3,3,4
90,300,MetaModelOnePlusOne,3,3,4
100,300,MetaModelOnePlusOne,3,3,4
10,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
5,7000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
5,7000,CMA,3,3,0
3,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,3,3,25
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,3,3,20
100,6000,ChainMetaModelPowell,3,3,1
100,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
90,6000,ChainMetaModelPowell,3,3,1
90,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
80,6000,ChainMetaModelPowell,3,3,1
80,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
70,6000,MetaModel,3,3,3
70,6000,CMA,3,3,0
10,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
60,6000,ChainMetaModelPowell,3,3,1
60,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
50,6000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
50,6000,ChainMetaModelPowell,3,3,1
15,500,MetaModelOnePlusOne,3,3,4
20,500,MetaModelOnePlusOne,3,3,4
25,500,MetaModelOnePlusOne,3,3,4
25,6000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
30,500,MetaModelOnePlusOne,3,3,4
25,7000,MetaModel,3,3,3
35,8000,MetaModel,3,3,3
80,300,MetaModelOnePlusOne,3,3,4
40,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
30,8000,CMA,3,3,0
25,8000,MetaModel,3,3,3
30,300,MetaModelOnePlusOne,3,3,4
15,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
35,300,MetaModelOnePlusOne,3,3,4
10,8000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
5,8000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
5,8000,CMA,3,3,0
40,300,MetaModelOnePlusOne,3,3,4
3,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,3,3,25
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,3,3,20
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,3,3,21
100,7000,ChainMetaModelPowell,3,3,1
100,7000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
45,300,MetaModelOnePlusOne,3,3,4
90,7000,ChainMetaModelPowell,3,3,1
90,7000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
50,300,MetaModelOnePlusOne,3,3,4
70,7000,ChainMetaModelPowell,3,3,1
70,7000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
60,7000,ChainMetaModelPowell,3,3,1
60,300,MetaModelOnePlusOne,3,3,4
50,7000,Cobyla,3,3,2
45,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
70,300,MetaModelOnePlusOne,3,3,4
35,7000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),3,3,5
60,7000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
100,500,MetaModelOnePlusOne,3,3,4
35,3500,ChainMetaModelPowell,3,3,1
3,2000,ConfPortfolio_scale2_NA_ngopt14s_1,3,3,38
35,3000,MetaModelOnePlusOne,3,3,4
30,2500,MetaModelOnePlusOne,3,3,4
